## Enclos Public Bonta ##

8848,549
8744,579
8743,605
8747,615
8746,208
8745,235

## Enclos Public Brakmar ##

8752,602
8750,468
8851,578
8749,614
8748,550
8751,356


## Enclos Privé Chateau d'amakna ##

9450,128
9449,268
9451,442
9455,416
9453,381
9456,181
9457,284
9458,401
9459,454
9462,426
9461,151
9460,308
9463,268
9464,381
9465,315
9466,307


## Enclos Privé Bonta (ville) ##


8760,753
8757,604
8758,181
8759,655
9268,598
9270,252
9273,271
9274,655
9278,753
9277,361
4250,635
4246,180
4245,587
4242,727
4207,636
4206,579
4079,418
4211,253
4210,603
4209,651
4252,542
4225,485
4309,541
4258,400
4260,576
4248,393
4342,458
4241,595
4240,326
4238,255
4233,523
4243,559
4273,247
4269,560
4264,617
4278,427
4272,397
4271,116
4265,620
4262,587
4261,325
4217,669
4219,431
4218,448
4216,302
4213,597
4215,155
4270,714
4096,652
4104,162
4284,283
4291,532
4275,451
4280,196
4249,528
4287,257
4282,172
4285,272
4169,490
4172,615
4300,193
4289,506
4181,678
4178,541
4212,232
4170,467
4204,455
4308,507
4182,308
4208,208
4299,472
4304,414
4301,620
4290,325
4336,437
2216,675
2215,567
2209,674
2210,472
4303,679
4305,438
4077,403
4082,414
4302,617
4072,287
4090,697
4097,707
4180,621
4094,529
4236,578
4177,556
4232,717
4173,660
8479,267
8480,342
4231,708
4229,543
4093,730
4070,468
2221,242
2220,373
2218,410

## Enclos Privé Bonta (bordure) ##

9216,210
9204,369
9158,585
9156,605
9157,523
9159,676
9162,558
9209,205
9218,226
9163,599
9160,375
9164,691
9207,313
9219,161
9220,205
9208,429
9165,433
9152,503
9166,560
9209,220
9222,222
9210,226
9167,449
9153,603
6154,598
9168,468
9211,429
9223,197
9169,414
9213,206
9225,219

## Enclos Privé Montagne Des Koalaks ##

8773,270
8778,263
8783,326
8788,384
8793,370
8798,323
8803,160
8804,125
8799,383
8794,398
8789,180
8779,157
8774,298
8770,236
8780,341
8805,314
8806,324
8832,295
8791,295
8786,294
8781,314
8776,196
8813,298
8817,315
8821,278
8825,326
8829,298
8833,283
8837,215
8838,313
8834,146
8830,366
8826,295
8822,190
8818,299
8814,396

## Enclos Privé Brakmar (ville) ##

4590,622
4586,511
4605,395
4600,494
4596,674
4606,454
4584,561
4595,190
4624,181
4625,694
4627,177
4626,697
8753,226
8754,598
8755,560
8756,606
4591,525
4593,225
4628,675
4620,263
4616,618
4622,712
4621,378
4614,355
4615,204
4592,542
4589,269
4583,752
4598,598
5139,641
5136,563
4930,421
4607,578
4582,359
4599,376
4601,363
4629,599
4644,583
4646,578
4603,580
4597,452
4609,245
4931,618
5127,617
5133,578
5151,152
5278,322
5334,251
4932,637
4562,524
4549,418
4649,154
4647,731
4631,579
4630,523
4633,544
4640,616
4666,231
4588,620
4934,709
5333,488
4617,303
4618,434
5280,619
5279,734
5112,152
5111,266
5108,433
4941,396
4937,579
4639,245
4637,542
4690,716
4935,566
4936,642
5277,570
5317,660
5324,456
5113,560
5304,596
5311,598
5326,531
5331,658
4611,632
4613,329


## Enclos Privé Brakmar (Bordure) ##

9748,356
9747,78
9746,169
9745,168
9744,164
9743,208
9736,194
9737,243
9738,109
9739,388
9740,178
9741,298
9728,359
9742,214
9732,127
9733,345
9734,279
9735,342
9356,399
9357,294
9358,252
9355,308
9354,264
9353,324
9352,112
9729,355
9730,282
9731,279
9732,112
9726,343
3727,366
10249,164
9349,354
9350,125
9346,226
9345,226
9725,199
9342,327


## Enclos Privé Plaine De Cania ##

3705,354
3663,344
3704,382
3672,196
3713,212
3714,342
3673,149
3187,268
3112,323
3113,235
3328,381
3367,368
3119,314
4432,211
4436,425
3817,151
3782,384
3737,324
3736,323
3781,353
3816,382
4547,316
4545,185
4544,94
4546,127
4485,300
4489,127
4468,93
4471,353
4585,294
4581,315
4491,211
4488,308


## Enclos Otomai ##

10561,380
10559,380
10557,287
10554,374
10602,365
10601,366
10600,373
10599,293
10606,308
10607,325
10609,331
10611,381
10622,323
10630,412
10618,380
10606,372

## Enclos Astrub ##

8598,374
8604,337
8564,168
8567,323
8570,299
8610,236
8607,354

## Lande De Sidimote ##

4966,169
4967,119
4634,268
4757,324
4806,342
4805,381
4809,357
4810,358
4705,367
4711,323
4729,338
4723,134
